Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,0.4085846,0.4085846,0,0,0,0.4085846,0,0,5.551115E-17,0,0.430089,0.4085846,0,0,0,10.62527,0,0.430089,-0.430089,13.54667,96.76176,0,0.449443,0,0,10.62527
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,0.7515726,0.7515726,0,0,0,0.7515726,0,0,1.110223E-16,0,0.7911291,0.7515726,0,0,0.4778767,10.19518,0,0.7911291,-0.7911291,12.71275,90.80518,0,0.8267298,0,0,10.19518
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,0.7591655,0.7591655,0,0,0,0.7591655,0,0,1.110223E-16,0,0.7991216,0.7591655,0,0,1.356909,9.404057,0,0.7991216,-0.7991216,11.8704,84.78842,0,0.8350821,0,0,9.404057
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,0.6935428,0.6935428,0,0,0,0.6935428,0,0,1.110223E-16,0,0.730045,0.6935428,0,0,2.244822,8.604935,0,0.730045,-0.730045,11.10087,79.29176,0,0.762897,0,0,8.604935
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,0.2337363,0.2337363,0,0,0,0.2337363,0,0,2.775558E-17,0,0.2460382,0.2337363,0,0,3.055983,7.874889,0,0.2460382,-0.2460382,10.84152,77.43928,0,0.2571099,0,0,7.874889
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75782,0.06572935,0.2949933,0.7159718,0.7159718,0,0,0,0.7159718,41.20181,0,0,0.2949933,0.7536545,0.7159718,0,0,3.329359,7.628851,0,0.4586612,-0.4586612,10.35805,73.98592,0,0.787569,0.2359947,0,7.923845
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11859,0.1475045,0.6620001,0.7336926,0.7336926,0,0,0,0.7336926,90.22852,0,0,0.6620001,0.7723081,0.7336926,0,0,3.838982,7.17019,0,0.110308,-0.110308,10.24177,73.15539,0,0.8070619,0.5296,0,7.83219
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85869,0.2876508,1.290977,1.523128,1.523128,0,0,0,1.523128,84.75822,2.220446E-16,0,1.290977,1.603293,1.523128,0,0,3.961547,7.059882,0,0.3123165,-0.3123165,9.912564,70.80389,0,1.675441,1.032781,0,8.350859
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46853,0.0700992,0.3146052,0.4584743,0.4584743,0,0,0,0.4584743,68.62004,0,0,0.3146052,0.4826045,0.4584743,0,0,4.308565,6.747566,0,0.1679993,-0.1679993,9.735477,69.53899,0,0.5043217,0.2516842,0,7.062171
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19857,0.05671747,0.254548,1.84499,1.84499,0,0,0,1.84499,13.79672,0,0,0.254548,1.942094,1.84499,0,0,4.495231,6.579566,0,1.687546,-1.687546,7.956648,56.83308,0,2.029489,0.2036384,0,6.834115
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12832,0.308119,1.382838,1.60066,1.60066,0,0,0,1.60066,86.39173,0,2.220446E-16,1.382838,1.684906,1.60066,0,0,6.370282,4.89202,0,0.3020674,-0.3020674,7.638241,54.55875,0,1.760726,1.106271,0,6.274858
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.45613,0.2722346,1.221789,1.215263,1.215263,0,0,0,1.215263,100.537,0,0,1.221789,1.279224,1.215263,0,0,6.705913,4.589953,0,0.05743486,-0.05743486,7.577699,54.12631,0,1.336789,0.9774314,0,5.811742
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91192,0.1153119,0.5175199,0.7382472,0.7382472,0,0,0,0.7382472,70.10117,0,0,0.5175199,0.7771022,0.7382472,0,0,6.769729,4.532518,0,0.2595823,-0.2595823,7.304075,52.17186,0,0.8120719,0.4140159,0,5.050038
1/1/2007 3:00:00 PM,0.06560741,36.83756,52.05293,47.98108,0.06534532,0.2932698,0,0,0,0,0,0,0,0,0,0.2932698,0,0,0,0,7.058154,4.272935,0.2932698,0,0.2932698,7.582295,54.15915,0,0,0.2346158,0,4.566206
1/1/2007 4:00:00 PM,0.1289536,24.56311,59.3996,61.10392,0.1288548,0.5783004,0.9870287,0.9870287,0,0,0,0.9870287,58.59003,0,1.110223E-16,0.5783004,1.038978,0.9870287,0,0,6.764884,4.536879,0,0.4606772,-0.4606772,7.096699,50.69061,0,1.085732,0.4626403,0,5.115179
1/1/2007 5:00:00 PM,0.06745297,11.49752,64.06036,74.68382,0.0677819,0.3042051,0,0,0,0,0,0,0,0,0,0.3042051,0,0,0,0,7.276748,4.076201,0.3042051,0,0.3042051,7.385293,52.75199,0,0,0.2433641,0,4.380406
1/1/2007 6:00:00 PM,0.009087816,0,66.93783,90,0,0,1.185611,1.185611,0,0,0,1.185611,0,0,0,0,1.248012,1.185611,0,0,6.972543,4.349986,0,1.248012,-1.248012,6.069773,43.35543,0,1.304173,0,0,4.349986
1/1/2007 7:00:00 PM,0,0,68.42065,90,0,0,1.639647,1.639647,0,0,0,1.639647,0,0,0,0,1.725944,1.639647,0,0,8.359222,3.101974,0,1.725944,-1.725944,4.250468,30.36043,0,1.803611,0,0,3.101974
1/1/2007 8:00:00 PM,0,0,68.50754,90,0,0,2.287166,2.287166,1.25,0,0.50625,2.287166,0,0,0,0,1.091754,1.037166,0,0,10.27694,1.37603,0,1.091754,-1.091754,3.099658,22.14037,0,2.515883,0,5,1.37603
1/1/2007 9:00:00 PM,0,0,66.69133,90,0,0,2.703306,2.703306,5,0,1.53,2.703306,0,0,0,0,0,0,2.296694,2.181859,11.49,0.2842757,2.181859,0,2.181859,5.169552,36.9253,0.2506585,2.973636,0,5,0.2842757
1/1/2007 10:00:00 PM,0,0,61.29293,90,0,0,0.03314815,0.03314815,3.538411,0,1.130986,0.03314815,0,4.440892E-16,0,0,0,0,3.505263,3.33,9.308139,2.247949,3.33,0,3.33,8.328668,59.49036,0.2276541,0.03646297,0,5,2.247949
1/1/2007 11:00:00 PM,0,0,46.66078,90,0,0,0.1374904,0.1374904,3.642754,0,1.159472,0.1374904,0,0,0,0,0,0,3.505263,3.33,5.978139,5.244949,3.33,0,3.33,11.48778,82.05543,0.2242337,0.1512394,0,5,5.244949
1/2/2007 12:00:00 AM,0,0,6.788207,90,0,0,0.4204937,0.4204937,0,0,0,0.4204937,0,0,5.551115E-17,0,0.442625,0.4204937,0,0,2.648139,8.241949,0,0.442625,-0.442625,11.02122,78.72281,0.2242337,0.4625431,0,0,8.241949
1/2/2007 1:00:00 AM,0,0,-40.56551,90,0,0,0.1733887,0.1733887,0,0,0,0.1733887,0,0,2.775558E-17,0,0.1825144,0.1733887,0,0,3.139944,7.799325,0,0.1825144,-0.1825144,10.82883,77.34862,0.2242337,0.1907275,0,0,7.799325
1/2/2007 2:00:00 AM,0,0,-59.2364,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.342738,7.61681,0,0,0,10.82883,77.34862,0.2242337,0,0,0,7.61681
1/2/2007 3:00:00 AM,0,0,-65.97112,90,0,0,0.6113674,0.6113674,0,0,0,0.6113674,0,0,0,0,0.6435447,0.6113674,0,0,3.342738,7.61681,0,0.6435447,-0.6435447,10.15047,72.50323,0.2242337,0.6725042,0,0,7.61681
1/2/2007 4:00:00 AM,0,0,-68.37815,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.057788,6.973265,0,0,0,10.15047,72.50323,0.2242337,0,0,0,6.973265
1/2/2007 5:00:00 AM,0,0,-68.6517,90,0,0,0.09948703,0.09948703,0,0,0,0.09948703,0,0,1.387779E-17,0,0.1047232,0.09948703,0,0,4.057788,6.973265,0,0.1047232,-0.1047232,10.04008,71.71474,0.2242337,0.1094357,0,0,6.973265
1/2/2007 6:00:00 AM,0.00108274,0,-67.47298,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.174147,6.868542,0,0,0,10.04008,71.71474,0.2242337,0,0,0,6.868542
1/2/2007 7:00:00 AM,0.0894334,8.420039,-64.93723,77.85435,0.100424,0.4507029,0.4680142,0.4680142,0,0,0,0.4680142,96.30112,0,0,0.4507029,0.4926465,0.4680142,0,0,4.174147,6.868542,0,0.04194358,-0.04194358,9.995872,71.39894,0.2242337,0.5148156,0.3605623,0,7.319245
1/2/2007 8:00:00 AM,0.2576896,21.61751,-60.74889,64.20486,0.2779504,1.247441,0.3098723,0.3098723,0,0,0,0.3098723,402.5663,0,0,1.247441,0.3261814,0.3098723,0,0,4.220751,6.826599,0.9212601,0,0.9212601,10.86986,77.64168,0.204295,0.3408595,0.9979531,0,8.074039
1/2/2007 9:00:00 AM,0.4718998,34.13238,-54.14432,50.93041,0.5125239,2.300207,0.3653802,0.3653802,0,0,0,0.3653802,629.538,0,0,2.300207,0.3846107,0.3653802,0,0,3.299491,7.655733,1.915596,0,1.915596,12.68715,90.62232,0.1724164,0.4019182,1.840166,0,9.95594
1/2/2007 10:00:00 AM,0.7602223,45.34824,-43.62961,38.51652,0.8317798,3.733027,0,0,0,0,0,0,0,2.349133,0,3.733027,0,0,0,0,1.383894,9.379769,1.383894,0,1.383894,14.00003,100,0.1549491,0,2.986422,0,13.1128
1/2/2007 11:00:00 AM,0.9687649,54.00035,-26.89878,28.20292,1.052089,4.721777,0,0,0,0,0,0,0,4.721777,0,4.721777,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0.1549491,0,3.777422,0,15.34705
1/2/2007 12:00:00 PM,1.031318,57.92366,-3.10829,23.06229,1.116794,5.012169,0.9919704,0.9919704,0,0,0,0.9919704,505.2741,3.96799,0,5.012169,1.044179,0.9919704,0,0,0,10.62527,0,0,0,14.00003,100,0.1549491,1.091167,4.009736,0,15.63744
1/2/2007 1:00:00 PM,0.9423041,55.46115,21.77175,26.33896,1.021659,4.585204,1.802478,1.802478,0,0,0,1.802478,254.3834,2.687859,0,4.585204,1.897345,1.802478,0,0,0,10.62527,0,0,0,14.00003,100,0.1549491,1.982726,3.668163,0,15.21048
1/2/2007 2:00:00 PM,0.9231796,47.717,40.28822,35.78432,1.009363,4.530021,1.74191,1.74191,0,0,0,1.74191,260.0605,2.696431,0,4.530021,1.833589,1.74191,0,0,0,10.62527,0,0,0,14.00003,100,0.1549491,1.916101,3.624017,0,15.1553
1/2/2007 3:00:00 PM,0.6474482,36.96494,52.06245,47.85676,0.718266,3.223578,0.4618232,0.4618232,0,0,0,0.4618232,698.0113,2.737448,0,3.223578,0.4861296,0.4618232,0,0,0,10.62527,0,0,0,14.00003,100,0.1549491,0.5080055,2.578862,0,13.84885
1/2/2007 4:00:00 PM,0.2630356,24.6874,59.43145,60.9856,0.2758419,1.237978,1.076491,1.076491,0,0,0,1.076491,115.0013,0.1048301,0,1.237978,1.133148,1.076491,0,0,0,10.62527,0,0,0,14.00003,100,0.1549491,1.18414,0.9903826,0,11.86325
1/2/2007 5:00:00 PM,0.168327,11.61707,64.10592,74.57209,0.2057889,0.9235804,1.513228,1.513228,0,0,0,1.513228,61.03379,0,0,0.9235804,1.592872,1.513228,0,0,0,10.62527,0,0.6692913,-0.6692913,13.29453,94.96076,0.1549491,1.664551,0.7388644,0,11.54885
1/2/2007 6:00:00 PM,0.01077664,0,66.99503,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7436569,9.955983,0,0,0,13.29453,94.96076,0.1549491,0,0,0,9.955983
1/2/2007 7:00:00 PM,0,0,68.49145,90,0,0,0.4645063,0.4645063,0,0,0,0.4645063,0,0,5.551115E-17,0,0.488954,0.4645063,0,0,0.7436569,9.955983,0,0.488954,-0.488954,12.77913,91.27932,0.1549491,0.5109569,0,0,9.955983
1/2/2007 8:00:00 PM,0,0,68.59808,90,0,0,1.22318,1.22318,0,0,0,1.22318,0,0,2.220446E-16,0,1.287558,1.22318,0,0,1.286939,9.467029,0,1.287558,-1.287558,11.42192,81.58501,0.1549491,1.345498,0,0,9.467029
1/2/2007 9:00:00 PM,0,0,66.81534,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71756,8.179471,0,0,0,11.42192,81.58501,0.1549491,0,0,0,8.179471
1/2/2007 10:00:00 PM,0,0,61.48289,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71756,8.179471,0,0,0,11.42192,81.58501,0.1549491,0,0,0,8.179471
1/2/2007 11:00:00 PM,0,0,46.99853,90,0,0,0.35792,0.35792,0,0,0,0.35792,0,0,5.551115E-17,0,0.3767579,0.35792,0,0,2.71756,8.179471,0,0.3767579,-0.3767579,11.02479,78.74832,0.1549491,0.393712,0,0,8.179471
1/3/2007 12:00:00 AM,0,0,7.251837,90,0,0,0.4365787,0.4365787,0,0,0,0.4365787,0,0,5.551115E-17,0,0.4595565,0.4365787,0,0,3.136179,7.802713,0,0.4595565,-0.4595565,10.54037,75.28822,0.1549491,0.4802365,0,0,7.802713
1/3/2007 1:00:00 AM,0,0,-40.51197,90,0,0,0.04656423,0.04656423,0,0,0,0.04656423,0,0,0,0,0.04901498,0.04656423,0,0,3.646798,7.343156,0,0.04901498,-0.04901498,10.48871,74.91917,0.1549491,0.05122066,0,0,7.343156
1/3/2007 2:00:00 AM,0,0,-59.30554,90,0,0,0.1157748,0.1157748,0,0,0,0.1157748,0,0,1.387779E-17,0,0.1218682,0.1157748,0,0,3.701259,7.294141,0,0.1218682,-0.1218682,10.36025,74.0016,0.1549491,0.1273523,0,0,7.294141
1/3/2007 3:00:00 AM,0,0,-66.05676,90,0,0,0.6302806,0.6302806,0,0,0,0.6302806,0,0,1.110223E-16,0,0.6634532,0.6302806,0,0,3.836668,7.172273,0,0.6634532,-0.6634532,9.660904,69.00632,0.1549491,0.6933087,0,0,7.172273
1/3/2007 4:00:00 AM,0,0,-68.46574,90,0,0,0.436737,0.436737,0,0,0,0.436737,0,0,5.551115E-17,0,0.4597231,0.436737,0,0,4.573838,6.50882,0,0.4597231,-0.4597231,9.176313,65.54497,0.1549491,0.4804107,0,0,6.50882
1/3/2007 5:00:00 AM,0,0,-68.74113,90,0,0,0.6615714,0.6615714,0,0,0,0.6615714,0,0,0,0,0.6963909,0.6615714,0,0,5.084641,6.049097,0,0.6963909,-0.6963909,8.442253,60.30169,0.1549491,0.7277285,0,0,6.049097
1/3/2007 6:00:00 AM,0.001416367,0,-67.56737,90,0,0,0.2562188,0.2562188,0,0,0,0.2562188,0,0,5.551115E-17,0,0.269704,0.2562188,0,0,5.858409,5.352706,0,0.269704,-0.269704,8.15796,58.27103,0.1549491,0.2818407,0,0,5.352706
1/3/2007 7:00:00 AM,0.154613,8.338984,-65.04131,77.94952,0.2181808,0.9791952,0,0,0,0,0,0,0,0,0,0.9791952,0,0,0,0,6.158081,5.083002,0.9791952,0,0.9791952,9.086906,64.90634,0.1445848,0,0.7833562,0,6.062197
1/3/2007 8:00:00 AM,0.3864299,21.54955,-60.86939,64.28908,0.4516696,2.027093,0.9961231,0.9961231,0,0,0,0.9961231,203.4983,0,0,2.027093,1.048551,0.9961231,0,0,5.178885,5.964278,0.9785426,0,0.9785426,10.01523,71.53724,0.1355257,1.095735,1.621675,0,7.991371
1/3/2007 9:00:00 AM,0.5964742,34.08275,-54.2908,50.99925,0.66541,2.98636,1.331409,1.331409,0,0,0,1.331409,224.3007,0,0,2.98636,1.401483,1.331409,0,0,4.200343,6.844966,1.584876,0,1.584876,11.51878,82.27682,0.1230398,1.46455,2.389088,0,9.831326
1/3/2007 10:00:00 AM,0.868866,45.32633,-43.81342,38.56059,0.9523236,4.274028,0.8927929,0.8927929,0,0,0,0.8927929,478.7256,0.7187802,0,4.274028,0.939782,0.8927929,0,0,2.615466,8.271355,2.615466,0,2.615466,14.00003,100,0.1068019,0.9820722,3.419223,0,12.54538
1/3/2007 11:00:00 AM,1.045182,54.02103,-27.119,28.202,1.135717,5.097099,2.548729,2.548729,0,0,0,2.548729,199.9859,2.414226,0,5.097099,2.682873,2.548729,0,0,0,10.62527,0,0,0,14.00003,100,0.1068019,2.803602,4.077679,0,15.72237
1/3/2007 12:00:00 PM,1.103408,57.99842,-3.311169,22.98996,1.195367,5.364808,0.5459562,0.5459562,0,0,0,0.5459562,982.6443,4.790117,0,5.364808,0.5746908,0.5459562,0,0,0,10.62527,0,0,0,14.00003,100,0.1068019,0.6005518,4.291846,0,15.99008
1/3/2007 1:00:00 PM,1.07279,55.57644,21.66171,26.2165,1.164307,5.225409,0.8965033,0.8965033,0,0,0,0.8965033,582.8655,4.281722,0,5.225409,0.9436877,0.8965033,0,0,0,10.62527,0,0,0,14.00003,100,0.1068019,0.9861537,4.180327,0,15.85068
1/3/2007 2:00:00 PM,0.9414855,47.84681,40.26152,35.65337,1.029178,4.618952,0.5670531,0.5670531,0,0,0,0.5670531,814.5538,4.022054,0,4.618952,0.596898,0.5670531,0,0,0,10.62527,0,0,0,14.00003,100,0.1068019,0.6237584,3.695162,0,15.24423
1/3/2007 3:00:00 PM,0.6946991,37.09526,52.07967,47.73057,0.7711912,3.461106,1.569809,1.569809,0,0,0,1.569809,220.4794,1.808676,0,3.461106,1.652431,1.569809,0,0,0,10.62527,0,0,0,14.00003,100,0.1068019,1.72679,2.768885,0,14.08638
1/3/2007 4:00:00 PM,0.4499265,24.81354,59.47055,60.86646,0.5176767,2.323333,1.330031,1.330031,0,0,0,1.330031,174.6826,0.9233001,0,2.323333,1.400033,1.330031,0,0,0,10.62527,0,0,0,14.00003,100,0.1068019,1.463034,1.858666,0,12.94861
1/3/2007 5:00:00 PM,0.1871784,11.73763,64.15836,74.46036,0.2357385,1.057995,3.187742,3.187742,1.25,0,0.50625,3.187742,33.18947,0,4.440892E-16,1.057995,2.039728,1.937742,0,0,0,10.62527,0,0.9817337,-0.9817337,12.96519,92.60831,0.1068019,3.506516,0.8463957,5,11.68327
1/3/2007 6:00:00 PM,0.01226666,0,67.05901,90,0,0,1.838678,1.838678,0,0,0,1.838678,0,0,2.220446E-16,0,1.935451,1.838678,0,0,1.090815,9.64354,0,1.935451,-1.935451,10.92505,78.03588,0.1068019,2.022546,0,0,9.64354
1/3/2007 7:00:00 PM,0,0,68.5692,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.241316,7.70809,0,0,0,10.92505,78.03588,0.1068019,0,0,0,7.70809
1/3/2007 8:00:00 PM,0,0,68.69611,90,0,0,1.805603,1.805603,0,0,0,1.805603,0,0,0,0,1.900635,1.805603,0,0,3.241316,7.70809,0,1.900635,-1.900635,8.9216,63.72559,0.1068019,1.986163,0,0,7.70809
1/3/2007 9:00:00 PM,0,0,66.94791,90,0,0,1.991451,1.991451,0,0,0,1.991451,0,0,2.220446E-16,0,2.096264,1.991451,0,0,5.353132,5.807455,0,2.096264,-2.096264,6.711945,47.94236,0.1068019,2.190596,0,0,5.807455
1/3/2007 10:00:00 PM,0,0,61.68317,90,0,0,0.7054948,0.7054948,0,0,0,0.7054948,0,0,1.110223E-16,0,0.7426261,0.7054948,0,0,7.682314,3.711191,0,0.7426261,-0.7426261,5.929148,42.35097,0.1068019,0.7760442,0,0,3.711191
1/3/2007 11:00:00 PM,0,0,47.34851,90,0,0,0.4595004,0.4595004,0,0,0,0.4595004,0,0,5.551115E-17,0,0.4836846,0.4595004,0,0,8.507455,2.968565,0,0.4836846,-0.4836846,5.4193,38.70921,0.1068019,0.5054504,0,0,2.968565
1/4/2007 12:00:00 AM,0,0,7.720277,90,0,0,0.1696249,0.1696249,0,0,0,0.1696249,0,0,2.775558E-17,0,0.1785525,0.1696249,0,0,9.044882,2.48488,0,0.1785525,-0.1785525,5.231089,37.36485,0.1068019,0.1865874,0,0,2.48488
1/4/2007 1:00:00 AM,0,0,-40.47429,90,0,0,0.6325351,0.6325351,0,0,0,0.6325351,0,0,1.110223E-16,0,0.6658264,0.6325351,0,0,9.243274,2.306328,0,0.6658264,-0.6658264,4.529246,32.35169,0.1068019,0.6957886,0,0,2.306328
1/4/2007 2:00:00 AM,0,0,-59.3882,90,0,0,0.546869,0.546869,0,0,0,0.546869,0,0,1.110223E-16,0,0.5756515,0.546869,0,0,9.983081,1.640501,0,0.5756515,-0.5756515,3.922456,28.01749,0.1068019,0.6015559,0,0,1.640501
1/4/2007 3:00:00 AM,0,0,-66.15261,90,0,0,0.1123673,0.1123673,0,0,0,0.1123673,0,0,1.387779E-17,0,0.1182813,0.1123673,0,0,10.62269,1.06485,0,0.1182813,-0.1182813,3.797776,27.12692,0.1068019,0.123604,0,0,1.06485
1/4/2007 4:00:00 AM,0,0,-68.56158,90,0,0,0.004137201,0.004137201,0,0,0,0.004137201,0,0,8.673617E-19,0,0.004354949,0.004137201,0,0,10.75412,0.9465685,0,0.004354949,-0.004354949,3.793186,27.09413,0.1068019,0.004550921,0,0,0.9465685
1/4/2007 5:00:00 AM,0,0,-68.83775,90,0,0,0.2560264,0.2560264,0,0,0,0.2560264,0,0,0,0,0.2695014,0.2560264,0,0,10.75896,0.9422136,0,0.2695014,-0.2695014,3.509106,25.065,0.1068019,0.281629,0,0,0.9422136
1/4/2007 6:00:00 AM,0.001396567,0,-67.66837,90,0,0,0.4341598,0.4341598,0,0,0,0.4341598,0,0,5.551115E-17,0,0.4570103,0.4341598,0,0,11.0584,0.6727121,0,0.4570103,-0.4570103,3.027375,21.62407,0.1068019,0.4775758,0,0,0.6727121
1/4/2007 7:00:00 AM,0.0564668,8.260301,-65.15175,78.04327,0.0574417,0.2577983,0,0,0,0,0,0,0,0,0,0.2577983,0,0,0,0,11.56619,0.2157018,0.2577983,0,0.2577983,3.271944,23.37098,0.1054304,0,0.2062387,0,0.4735001
1/4/2007 8:00:00 AM,0.2004859,21.48465,-60.99622,64.37119,0.2067318,0.9278123,0.02275508,0.02275508,0,0,0,0.02275508,4077.385,0,0,0.9278123,0.02395272,0.02275508,0,0,11.30839,0.4477203,0.9038596,0,0.9038596,4.129421,29.4958,0.1008882,0.02503059,0.7422499,0,1.375533
1/4/2007 9:00:00 AM,0.4016865,34.03698,-54.44366,51.06519,0.4245787,1.905509,0,0,0,0,0,0,0,0,0,1.905509,0,0,0,0,10.40453,1.261194,1.905509,0,1.905509,5.937146,42.4081,0.09248794,0,1.524408,0,3.166703
1/4/2007 10:00:00 AM,0.3202593,45.30926,-44.00337,38.60072,0.3216372,1.443508,2.945681,2.945681,1.25,0,0.50625,2.945681,49.00421,0,0,1.443508,1.784928,1.695681,0,0,8.499024,2.976152,0,0.3414199,-0.3414199,5.577258,39.83747,0.09248794,3.240249,1.154806,5,4.41966
1/4/2007 11:00:00 AM,0.1218587,54.04757,-27.34379,28.19584,0.1213832,0.5447679,1.268378,1.268378,4.594854,0,1.419395,1.268378,42.94995,0,0,0.5447679,0,0,3.326476,3.160152,8.87838,2.634732,3.70492,0,3.70492,9.092053,64.94311,0.1177583,1.395216,0.4358144,5,3.1795
1/4/2007 12:00:00 PM,0.319373,58.07962,-3.51411,22.91136,0.3190297,1.431805,0.3305519,0.3305519,3.835815,0,1.212178,0.3305519,433.1561,0,0,1.431805,0,0,3.505263,3.33,5.17346,5.969161,4.761806,0,4.761806,13.6095,97.21051,0.1248909,0.363607,1.145444,5,7.400966
1/4/2007 1:00:00 PM,0.5423717,55.69747,21.55712,26.08877,0.5583194,2.505738,1.040593,1.040593,0,0,0,1.040593,240.799,0.9987227,0,2.505738,1.095361,1.040593,0,0,0.4116539,10.25479,0.4116539,0,0.4116539,14.00003,100,0.1232723,1.144652,2.00459,0,12.76052
1/4/2007 2:00:00 PM,0.1238305,47.98087,40.24257,35.51914,0.1233725,0.5536957,1.407078,1.407078,0,0,0,1.407078,39.35074,0,0,0.5536957,1.481135,1.407078,0,0,0,10.62527,0,0.9274394,-0.9274394,13.02242,93.01711,0.1232723,1.547786,0.4429566,0,11.17897
1/4/2007 3:00:00 PM,0.1481758,37.22844,52.10466,47.60261,0.1477778,0.6632267,0.433383,0.433383,0,0,0,0.433383,153.0348,0,0,0.6632267,0.4561926,0.433383,0,0,1.030488,9.697835,0.2070341,0,0.2070341,13.21883,94.42003,0.1224741,0.4767213,0.5305814,0,10.36106
1/4/2007 4:00:00 PM,0.09439445,24.94146,59.51693,60.74661,0.09418964,0.4227231,0,0,0,0,0,0,0,0,0,0.4227231,0,0,0,0,0.8234541,9.884166,0.4227231,0,0.4227231,13.61986,97.28453,0.1208758,0,0.3381785,0,10.30689
1/4/2007 5:00:00 PM,0.05515802,11.85911,64.21771,74.34872,0.05524664,0.2479469,0.3934932,0.3934932,0,0,0,0.3934932,63.01173,0,0,0.2479469,0.4142034,0.3934932,0,0,0.400731,10.26462,0,0.1662565,-0.1662565,13.44461,96.03275,0.1208758,0.4328426,0.1983575,0,10.51256
1/4/2007 6:00:00 PM,0.01462315,0,67.12976,90,0,0,2.345991,2.345991,0,0,0,2.345991,0,0,4.440892E-16,0,2.469464,2.345991,0,0,0.5854604,10.09836,0,2.469464,-2.469464,10.84157,77.43961,0.1208758,2.58059,0,0,10.09836
1/4/2007 7:00:00 PM,0,0,68.65388,90,0,0,1.445897,1.445897,0,0,0,1.445897,0,0,2.220446E-16,0,1.521997,1.445897,0,0,3.329309,7.628896,0,1.521997,-1.521997,9.237243,65.98017,0.1208758,1.590487,0,0,7.628896
1/4/2007 8:00:00 PM,0,0,68.80161,90,0,0,0.3422491,0.3422491,0,0,0,0.3422491,0,0,5.551115E-17,0,0.3602622,0.3422491,0,0,5.020417,6.106899,0,0.3602622,-0.3602622,8.857492,63.26768,0.1208758,0.376474,0,0,6.106899
1/4/2007 9:00:00 PM,0,0,67.08897,90,0,0,1.70164,1.70164,0,0,0,1.70164,0,0,2.220446E-16,0,1.791201,1.70164,0,0,5.420708,5.746637,0,1.791201,-1.791201,6.969401,49.78134,0.1208758,1.871805,0,0,5.746637
1/4/2007 10:00:00 PM,0,0,61.89367,90,0,0,0.3723082,0.3723082,0,0,0,0.3723082,0,0,5.551115E-17,0,0.3919033,0.3723082,0,0,7.410931,3.955436,0,0.3919033,-0.3919033,6.556299,46.83061,0.1208758,0.409539,0,0,3.955436
1/4/2007 11:00:00 PM,0,0,47.71067,90,0,0,0.3728556,0.3728556,0,0,0,0.3728556,0,0,5.551115E-17,0,0.3924796,0.3728556,0,0,7.846379,3.563533,0,0.3924796,-0.3924796,6.142589,43.87555,0.1208758,0.4101411,0,0,3.563533
