Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Generic flat plate PV Cell Temperature,Ambient Temperature,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,29.65982,29.65982,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,29.65982,29.65982,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,28.58683,28.58683,1.33589,1.33589,0,-1,0,1.33589,0,0,2.220446E-16,0,0,1.4062,1.33589,0,0,0,29.59898,0,1.4062,-1.4062,37.51781,96.19933,0,1.469479,0,0,29.59898
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,27.60108,27.60108,2.457308,2.457308,0,-1,0,2.457308,0,0,0,0,0,2.58664,2.457308,0,0,1.562444,28.19278,0,2.58664,-2.58664,34.79126,89.20817,0,2.703039,0,0,28.19278
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,26.59788,26.59788,2.482134,2.482134,0,-1,0,2.482134,0,0,0,0,0,2.612772,2.482134,0,0,4.436489,25.60614,0,2.612772,-2.612772,32.03715,82.14638,0,2.730347,0,0,25.60614
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,25.69064,25.69064,2.267576,2.267576,0,0,0,2.267576,0,0,0,0,0,2.386923,2.267576,0,0,7.339569,22.99337,0,2.386923,-2.386923,29.52111,75.69501,0,2.494334,0,0,22.99337
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,24.86191,24.86191,0.7642136,0.7642136,0,0,0,0.7642136,0,0,1.110223E-16,0,0,0.8044354,0.7642136,0,0,9.991705,20.60644,0,0.8044354,-0.8044354,28.67316,73.52079,0,0.840635,0,0,20.60644
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.7433349,25.89766,23.99828,2.100509,2.100509,0,0,0,2.100509,35.38832,0,0,0,0.7433349,2.211062,2.100509,0,0,10.88552,19.80201,0,1.467727,-1.467727,27.12605,69.55382,0,2.31056,0.594668,0,20.54534
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,1.635717,29.76632,25.49,2.152498,2.152498,0,0,0,2.152498,75.99158,0,4.440892E-16,0,1.635717,2.265788,2.152498,0,0,12.51633,18.33428,0,0.6300703,-0.6300703,26.46189,67.85087,0,2.367748,1.308574,0,19.97
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,3.060405,37.68832,29.29343,4.468535,4.468535,0,-1,0,4.468535,68.48788,0,0,0,3.060405,4.703721,4.468535,0,0,13.21641,17.70421,0,1.643316,-1.643316,24.72968,63.40932,0,4.915388,2.448324,0,20.76462
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46822,0.07009917,0.7555768,35.23443,33.19283,1.345066,1.345066,0,0,0,1.345066,56.17396,0,2.220446E-16,0,0.7555768,1.415859,1.345066,0,0,15.04231,16.06089,0,0.6602821,-0.6602821,24.03369,61.62471,0,1.479573,0.6044614,0,16.81647
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19816,0.05671744,0.6019027,38.16366,36.50775,5.412807,5.412807,0,0,0,5.412807,11.11997,0,8.881784E-16,0,0.6019027,5.697691,5.412807,0,0,15.77596,15.40061,0,5.095788,-5.095788,18.66225,47.85184,0,5.954088,0.4815222,0,16.00252
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12783,0.3081189,3.086276,48.65298,39.57841,4.695997,4.695997,0,0,0,4.695997,65.72144,0,0,0,3.086276,4.943154,4.695997,0,0,21.43795,10.30482,0,1.856878,-1.856878,16.70493,42.83307,0,5.165596,2.469021,0,13.3911
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.4557,0.2722346,2.69753,50.54853,42.51822,3.565323,3.565323,0,0,0,3.565323,75.66019,0,0,0,2.69753,3.752971,3.565323,0,0,23.50115,8.447946,0,1.055441,-1.055441,15.5924,39.98043,0,3.921855,2.158024,0,11.14548
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91159,0.1153119,1.160921,47.75246,44.35888,2.16586,2.16586,0,-1,0,2.16586,53.60091,0,0,0,1.160921,2.279853,2.16586,0,0,24.67386,7.392504,0,1.118932,-1.118932,14.41294,36.95618,0,2.382446,0.9287366,0,8.553425
1/1/2007 3:00:00 PM,0.06560741,36.83756,52.05293,47.98082,0.06534529,0.6604221,47.06598,45.14399,0,0,0,-1,0,0,0,0,0,0,0.6604221,0,0,0,0,25.91712,6.273572,0.6604221,0,0.6604221,15.03947,38.56268,0,0,0.5283377,0,6.933994
1/1/2007 4:00:00 PM,0.1289536,24.56311,59.3996,61.10369,0.1288548,1.283003,49.70119,45.90293,2.895732,2.895732,0,-1,0,2.895732,44.3067,0,0,0,1.283003,3.048139,2.895732,0,0,25.25669,6.867952,0,1.765136,-1.765136,13.17886,33.79187,0,3.185305,1.026403,0,8.150955
1/1/2007 5:00:00 PM,0.06745297,11.49752,64.06036,74.68362,0.0677819,0.6850408,47.06786,45.0742,0,0,0,-1,0,0,0,0,0,0,0.6850408,0,0,0,0,27.21796,5.102817,0.6850408,0,0.6850408,13.82874,35.45824,0,0,0.5480326,0,5.787857
1/1/2007 6:00:00 PM,0.009087816,0,66.93783,90,0,0,42.44843,42.44843,3.031366,3.031366,0,-1,0,3.031366,0,0,0,0,0,3.190912,3.031366,0,0,26.53292,5.719353,0,3.190912,-3.190912,10.46523,26.83386,0,3.334502,0,0,5.719353
1/1/2007 7:00:00 PM,0,0,68.42065,90,0,0,39.97097,39.97097,4.192241,2.40202,0,-1,0,2.40202,0,0,1.790221,2.209445,0,2.528442,2.40202,0,0,30.07837,2.528442,0,2.528442,-2.528442,7.800015,20,0,4.611465,0,0,2.528442
1/1/2007 8:00:00 PM,0,0,68.50754,90,0,0,37.98201,37.98201,5.847816,0,0,-1,0,0,0,0,5.847816,6.432598,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,6.432598,0,0,0
