Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,2.493661,2.493661,0,-1,0,2.493661,0,0,0,0,0,2.624907,2.493661,0,0,0,29.59898,0,2.624907,-2.624907,36.23318,92.90541,0,2.743027,0,0,29.59898
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,4.586975,4.586975,0,-1,0,4.586975,0,0,8.881784E-16,0,0,4.828395,4.586975,0,0,2.916563,26.97407,0,4.828395,-4.828395,31.14361,79.85525,0,5.045673,0,0,26.97407
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,4.633316,4.633316,0,-1,0,4.633316,0,0,0,0,0,4.877175,4.633316,0,0,8.281446,22.14568,0,4.877175,-4.877175,26.00261,66.67324,0,5.096648,0,0,22.14568
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,4.232809,4.232809,0,0,0,4.232809,0,0,8.881784E-16,0,0,4.455589,4.232809,0,0,13.70053,17.2685,0,4.455589,-4.455589,21.30601,54.63069,0,4.65609,0,0,17.2685
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,1.426532,1.426532,0,0,0,1.426532,0,0,2.220446E-16,0,0,1.501613,1.426532,0,0,18.65118,12.81291,0,1.501613,-1.501613,19.72317,50.57214,0,1.569185,0,0,12.81291
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.7466863,3.92095,3.92095,0,0,0,3.92095,19.0435,0,4.440892E-16,0,0.7466863,4.127316,3.92095,0,0,20.31964,11.3113,0,3.38063,-3.38063,16.15968,41.43499,0,4.313045,0.597349,0,12.05799
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,1.675651,4.017997,4.017997,0,0,0,4.017997,41.70364,0,8.881784E-16,0,1.675651,4.22947,4.017997,0,0,24.0759,7.930671,0,2.553819,-2.553819,13.46771,34.53253,0,4.419796,1.340521,0,9.606321
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,3.267714,8.341265,8.212337,0,-1,0,8.212337,39.7903,0,0.1289278,3.446517,3.267714,8.644566,8.212337,0,0,26.91347,5.376852,0,5.376852,-5.376852,7.800015,20,0,9.175391,2.614171,0,8.644566
