Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,0.4669538,0.4669538,0,-1,0,0.4669538,0,0,5.551115E-17,0,0,0.4915303,0.4669538,0,0,0,10.62527,0,0.4915303,-0.4915303,13.48191,96.29916,0,0.5136492,0,0,10.62527
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,0.8589401,0.8589401,0,-1,0,0.8589401,0,0,1.110223E-16,0,0,0.9041474,0.8589401,0,0,0.5461448,10.13374,0,0.9041474,-0.9041474,12.52885,89.49164,0,0.9448341,0,0,10.13374
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,0.8676177,0.8676177,0,-1,0,0.8676177,0,0,1.110223E-16,0,0,0.9132818,0.8676177,0,0,1.550753,9.229596,0,0.9132818,-0.9132818,11.56617,82.61534,0,0.9543795,0,0,9.229596
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,0.7926203,0.7926203,0,0,0,0.7926203,0,0,1.110223E-16,0,0,0.8343372,0.7926203,0,0,2.565511,8.316315,0,0.8343372,-0.8343372,10.6867,76.33344,0,0.8718823,0,0,8.316315
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,0.2671272,0.2671272,0,0,0,0.2671272,0,0,0,0,0,0.2811865,0.2671272,0,0,3.492552,7.481977,0,0.2811865,-0.2811865,10.39031,74.21632,0,0.2938399,0,0,7.481977
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75782,0.06572935,0.2949933,0.8182535,0.8182535,0,0,0,0.8182535,36.05158,0,0,0,0.2949933,0.8613194,0.8182535,0,0,3.804981,7.200791,0,0.5663261,-0.5663261,9.793345,69.95233,0,0.9000788,0.2359947,0,7.495784
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11859,0.1475045,0.6620001,0.8385059,0.8385059,0,0,0,0.8385059,78.94996,0,0,0,0.6620001,0.8826378,0.8385059,0,0,4.434233,6.634465,0,0.2206377,-0.2206377,9.560773,68.2911,0,0.9223565,0.5296,0,7.296465
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85869,0.2876508,1.290977,1.740718,1.740718,0,-1,0,1.740718,74.16344,0,0,0,1.290977,1.832335,1.740718,0,0,4.679386,6.413827,0,0.5413584,-0.5413584,8.990131,64.2151,0,1.91479,1.032781,0,7.704804
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46853,0.0700992,0.3146052,0.5239706,0.5239706,0,-1,0,0.5239706,60.04253,0,0,0,0.3146052,0.551548,0.5239706,0,0,5.280895,5.872469,0,0.2369428,-0.2369428,8.740372,62.4311,0,0.5763677,0.2516842,0,6.187074
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19857,0.05671747,0.254548,2.108559,2.108559,0,-1,0,2.108559,12.07213,0,4.440892E-16,0,0.254548,2.219536,2.108559,0,0,5.544165,5.635526,0,1.964988,-1.964988,6.669092,47.63628,0,2.319415,0.2036384,0,5.890074
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12832,0.308119,1.382838,1.829326,1.829326,0,-1,0,1.829326,75.59277,0,2.220446E-16,0,1.382838,1.925606,1.829326,0,0,7.727485,3.670538,0,0.5427682,-0.5427682,6.096964,43.54966,0,2.012259,1.106271,0,5.053376
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.45613,0.2722346,1.221789,1.388872,1.388872,0,-1,0,1.388872,87.9699,2.220446E-16,0,0,1.221789,1.46197,1.388872,0,0,8.330561,3.127769,0,0.2401811,-0.2401811,5.843791,41.74128,0,1.527759,0.9774314,0,4.349559
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91192,0.1153119,0.5175199,0.843711,0.843711,0,-1,0,0.843711,61.33852,0,0,0,0.5175199,0.8881168,0.843711,0,0,8.597428,2.887589,0,0.3705969,-0.3705969,5.453147,38.95098,0,0.9280821,0.4140159,0,3.405108
1/1/2007 3:00:00 PM,0.06560741,36.83756,52.05293,47.98108,0.06534532,0.2932698,0,0,0,-1,0,0,0,0,0,0,0.2932698,0,0,0,0,9.009203,2.516991,0.2932698,0,0.2932698,5.731368,40.93826,0,0,0.2346158,0,2.810261
1/1/2007 4:00:00 PM,0.1289536,24.56311,59.3996,61.10392,0.1288548,0.5783004,1.128033,1.128033,0,-1,0,1.128033,51.26627,0,2.220446E-16,0,0.5783004,1.187403,1.128033,0,0,8.715933,2.780934,0,0.6091025,-0.6091025,5.089317,36.35219,0,1.240836,0.4626403,0,3.359235
1/1/2007 5:00:00 PM,0.06745297,11.49752,64.06036,74.68382,0.0677819,0.3042051,0,0,0,-1,0,0,0,0,0,0,0.3042051,0,0,0,0,9.392714,2.171832,0.3042051,0,0.3042051,5.377912,38.41358,0,0,0.2433641,0,2.476037
1/1/2007 6:00:00 PM,0.009087816,0,66.93783,90,0,0,1.354985,1.354985,0,-1,0,1.354985,0,0,0,0,0,1.4263,1.354985,0,0,9.088509,2.445616,0,1.4263,-1.4263,3.87446,27.67466,0,1.490483,0,0,2.445616
1/1/2007 7:00:00 PM,0,0,68.42065,90,0,0,1.873882,0.9683509,0,-1,0,0.9683509,0,0,0.905531,1.092919,0,1.019317,0.9683509,0,0,10.67329,1.019317,0,1.019317,-1.019317,2.800006,20,0,2.06127,0,0,1.019317
1/1/2007 8:00:00 PM,0,0,68.50754,90,0,0,2.613904,0,0,-1,0,0,0,0,2.613904,2.875295,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,2.875295,0,0,0
1/1/2007 9:00:00 PM,0,0,66.69133,90,0,0,3.089492,0,0,-1,0,0,0,0,3.089492,3.398442,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,3.398442,0,0,0
1/1/2007 10:00:00 PM,0,0,61.29293,90,0,0,0.0378836,0,0,-1,0,0,0,0,0.0378836,0.04167196,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,0.04167196,0,0,0
1/1/2007 11:00:00 PM,0,0,46.66078,90,0,0,0.1571319,0,0,-1,0,0,0,0,0.1571319,0.1728451,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,0.1728451,0,0,0
1/2/2007 12:00:00 AM,0,0,6.788207,90,0,0,0.4805642,0,0,-1,0,0,0,0,0.4805642,0.5286207,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,0.5286207,0,0,0
1/2/2007 1:00:00 AM,0,0,-40.56551,90,0,0,0.1981585,0,0,-1,0,0,0,0,0.1981585,0.2179743,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,0.2179743,0,0,0
1/2/2007 2:00:00 AM,0,0,-59.2364,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,0,0,0,0
1/2/2007 3:00:00 AM,0,0,-65.97112,90,0,0,0.6987056,0,0,-1,0,0,0,0,0.6987056,0.7685762,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,0.7685762,0,0,0
1/2/2007 4:00:00 AM,0,0,-68.37815,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,0,0,0,0
1/2/2007 5:00:00 AM,0,0,-68.6517,90,0,0,0.1136995,0.1136995,3.618963,0,1.152977,0.1136995,0,0,0,0,0,0,0,3.505263,3.33,11.80586,0,3.33,0,3.33,5.959121,42.56506,0.1829637,0.1250694,0,5,0
1/2/2007 6:00:00 AM,0.00108274,0,-67.47298,90,0,0,0,0,3.505263,0,1.121937,0,0,0,0,0,0,0,0,3.505263,3.33,8.475861,2.997,3.33,0,3.33,9.118237,65.13013,0.1932741,0,0,5,2.997
1/2/2007 7:00:00 AM,0.0894334,8.420039,-64.93723,77.85435,0.100424,0.4507029,0.5348733,0.5348733,4.040136,0,1.267957,0.5348733,84.26348,0,0,0,0.4507029,0,0,3.505263,3.33,5.14586,5.994,3.780703,0,3.780703,12.70493,90.74929,0.2037495,0.5883607,0.3605623,5,6.444703
1/2/2007 8:00:00 AM,0.2576896,21.61751,-60.74889,64.20486,0.2779504,1.247441,0.3541398,0.3541398,0,0,0,0.3541398,352.2455,0,0,0,1.247441,0.3727787,0.3541398,0,0,1.365157,9.396632,0.8746627,0,0.8746627,13.5347,96.67626,0.1887898,0.3895537,0.9979531,0,10.64407
1/2/2007 9:00:00 AM,0.4718998,34.13238,-54.14432,50.93041,0.5125239,2.300207,0.4175774,0.4175774,0,-1,0,0.4175774,550.8458,1.370158,0,0,2.300207,0.4395551,0.4175774,0,0,0.4904946,10.18383,0.4904946,0,0.4904946,14.00003,100,0.1813241,0.4593351,1.840166,0,12.48404
1/2/2007 10:00:00 AM,0.7602223,45.34824,-43.62961,38.51652,0.8317798,3.733027,0,0,0,-1,0,0,0,3.733027,0,0,3.733027,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0.1813241,0,2.986422,0,14.3583
1/2/2007 11:00:00 AM,0.9687649,54.00035,-26.89878,28.20292,1.052089,4.721777,0,0,0,-1,0,0,0,4.721777,0,0,4.721777,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0.1813241,0,3.777422,0,15.34705
1/2/2007 12:00:00 PM,1.031318,57.92366,-3.10829,23.06229,1.116794,5.012169,1.13368,1.13368,0,-1,0,1.13368,442.1148,3.818821,0,0,5.012169,1.193348,1.13368,0,0,0,10.62527,0,0,0,14.00003,100,0.1813241,1.247048,4.009736,0,15.63744
1/2/2007 1:00:00 PM,0.9423041,55.46115,21.77175,26.33896,1.021659,4.585204,2.059975,2.059975,0,-1,0,2.059975,222.5855,2.41681,0,0,4.585204,2.168394,2.059975,0,0,0,10.62527,0,0,0,14.00003,100,0.1813241,2.265972,3.668163,0,15.21048
1/2/2007 2:00:00 PM,0.9231796,47.717,40.28822,35.78432,1.009363,4.530021,1.990754,1.990754,0,-1,0,1.990754,227.553,2.43449,0,0,4.530021,2.095531,1.990754,0,0,0,10.62527,0,0,0,14.00003,100,0.1813241,2.18983,3.624017,0,15.1553
1/2/2007 3:00:00 PM,0.6474482,36.96494,52.06245,47.85676,0.718266,3.223578,0.5277979,0.5277979,0,-1,0,0.5277979,610.7599,2.668001,0,0,3.223578,0.5555767,0.5277979,0,0,0,10.62527,0,0,0,14.00003,100,0.1813241,0.5805777,2.578862,0,13.84885
1/2/2007 4:00:00 PM,0.2630356,24.6874,59.43145,60.9856,0.2758419,1.237978,1.230275,1.230275,0,-1,0,1.230275,100.6261,0,0,0,1.237978,1.295026,1.230275,0,0,0,10.62527,0,0.05704821,-0.05704821,13.93989,99.57047,0.1813241,1.353303,0.9903826,0,11.86325
1/2/2007 5:00:00 PM,0.168327,11.61707,64.10592,74.57209,0.2057889,0.9235804,1.729403,1.729403,0,-1,0,1.729403,53.40456,0,0,0,0.9235804,1.820425,1.729403,0,0,0.0633869,10.56823,0,0.8968443,-0.8968443,12.99454,92.81793,0.1813241,1.902344,0.7388644,0,11.49181
1/2/2007 6:00:00 PM,0.01077664,0,66.99503,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1.059881,9.671382,0,0,0,12.99454,92.81793,0.1813241,0,0,0,9.671382
1/2/2007 7:00:00 PM,0,0,68.49145,90,0,0,0.5308644,0.5308644,0,-1,0,0.5308644,0,0,1.110223E-16,0,0,0.5588046,0.5308644,0,0,1.059881,9.671382,0,0.5588046,-0.5588046,12.40551,88.61057,0.1813241,0.5839508,0,0,9.671382
1/2/2007 8:00:00 PM,0,0,68.59808,90,0,0,1.39792,1.39792,0,-1,0,1.39792,0,0,0,0,0,1.471495,1.39792,0,0,1.680775,9.112577,0,1.471495,-1.471495,10.85441,77.53136,0.1813241,1.537712,0,0,9.112577
1/2/2007 9:00:00 PM,0,0,66.81534,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,3.315769,7.641082,0,0,0,10.85441,77.53136,0.1813241,0,0,0,7.641082
1/2/2007 10:00:00 PM,0,0,61.48289,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,3.315769,7.641082,0,0,0,10.85441,77.53136,0.1813241,0,0,0,7.641082
1/2/2007 11:00:00 PM,0,0,46.99853,90,0,0,0.4090514,0.4090514,0,-1,0,0.4090514,0,0,5.551115E-17,0,0,0.4305804,0.4090514,0,0,3.315769,7.641082,0,0.4305804,-0.4305804,10.40054,74.28944,0.1813241,0.4499566,0,0,7.641082
1/3/2007 12:00:00 AM,0,0,7.251837,90,0,0,0.4989471,0.4989471,0,-1,0,0.4989471,0,0,0,0,0,0.5252075,0.4989471,0,0,3.794192,7.210502,0,0.5252075,-0.5252075,9.846924,70.33503,0.1813241,0.5488418,0,0,7.210502
1/3/2007 1:00:00 AM,0,0,-40.51197,90,0,0,0.05321627,0.05321627,0,-1,0,0.05321627,0,0,0,0,0,0.05601712,0.05321627,0,0,4.377756,6.685294,0,0.05601712,-0.05601712,9.787877,69.91327,0.1813241,0.05853789,0,0,6.685294
1/3/2007 2:00:00 AM,0,0,-59.30554,90,0,0,0.1323141,0.1323141,0,-1,0,0.1323141,0,0,0,0,0,0.139278,0.1323141,0,0,4.439997,6.629277,0,0.139278,-0.139278,9.641066,68.86462,0.1813241,0.1455455,0,0,6.629277
1/3/2007 3:00:00 AM,0,0,-66.05676,90,0,0,0.7203206,0.7203206,0,-1,0,0.7203206,0,0,0,0,0,0.7582322,0.7203206,0,0,4.59475,6.489999,0,0.7582322,-0.7582322,8.841818,63.15572,0.1813241,0.7923527,0,0,6.489999
1/3/2007 4:00:00 AM,0,0,-68.46574,90,0,0,0.499128,0.499128,0,-1,0,0.499128,0,0,0,0,0,0.5253979,0.499128,0,0,5.437231,5.731767,0,0.5253979,-0.5253979,8.288,59.19988,0.1813241,0.5490408,0,0,5.731767
1/3/2007 5:00:00 AM,0,0,-68.74113,90,0,0,0.7560816,0.7560816,0,0,0,0.7560816,0,0,1.110223E-16,0,0,0.7958754,0.7560816,0,0,6.021006,5.206369,0,0.7958754,-0.7958754,7.449074,53.20757,0.1813241,0.8316897,0,0,5.206369
1/3/2007 6:00:00 AM,0.001416367,0,-67.56737,90,0,0,0.2928214,0.2928214,0,0,0,0.2928214,0,0,5.551115E-17,0,0,0.3082331,0.2928214,0,0,6.905312,4.410493,0,0.3082331,-0.3082331,7.124167,50.88681,0.1813241,0.3221036,0,0,4.410493
1/3/2007 7:00:00 AM,0.154613,8.338984,-65.04131,77.94952,0.2181808,0.9791952,0,0,0,0,0,0,0,0,0,0,0.9791952,0,0,0,0,7.247793,4.10226,0.9791952,0,0.9791952,8.053114,57.52213,0.1680567,0,0.7833562,0,5.081456
1/3/2007 8:00:00 AM,0.3864299,21.54955,-60.86939,64.28908,0.4516696,2.027093,1.138426,1.138426,0,0,0,1.138426,178.061,0,0,0,2.027093,1.198344,1.138426,0,0,6.268598,4.983536,0.8287497,0,0.8287497,8.839334,63.13798,0.1582562,1.252269,1.621675,0,7.010629
1/3/2007 9:00:00 AM,0.5964742,34.08275,-54.2908,50.99925,0.66541,2.98636,1.521611,1.521611,0,-1,0,1.521611,196.2631,0,0,0,2.98636,1.601695,1.521611,0,0,5.439848,5.729411,1.384664,0,1.384664,10.15294,72.52087,0.1442056,1.673772,2.389088,0,8.715771
1/3/2007 10:00:00 AM,0.868866,45.32633,-43.81342,38.56059,0.9523236,4.274028,1.020335,1.020335,0,-1,0,1.020335,418.8849,0,0,0,4.274028,1.074037,1.020335,0,0,4.055184,6.975609,3.199992,0,3.199992,13.18872,94.20496,0.1196548,1.122368,3.419223,0,11.24964
1/3/2007 11:00:00 AM,1.045182,54.02103,-27.119,28.202,1.135717,5.097099,2.912834,2.912834,0,-1,0,2.912834,174.9876,1.175766,0,0,5.097099,3.066141,2.912834,0,0,0.8551919,9.855601,0.8551919,0,0.8551919,14.00003,100,0.1144475,3.204117,4.077679,0,14.9527
1/3/2007 12:00:00 PM,1.103408,57.99842,-3.311169,22.98996,1.195367,5.364808,0.6239499,0.6239499,0,-1,0,0.6239499,859.8138,4.708018,0,0,5.364808,0.6567894,0.6239499,0,0,0,10.62527,0,0,0,14.00003,100,0.1144475,0.6863449,4.291846,0,15.99008
1/3/2007 1:00:00 PM,1.07279,55.57644,21.66171,26.2165,1.164307,5.225409,1.024575,1.024575,0,-1,0,1.024575,510.0074,4.146909,0,0,5.225409,1.0785,1.024575,0,0,0,10.62527,0,0,0,14.00003,100,0.1144475,1.127033,4.180327,0,15.85068
1/3/2007 2:00:00 PM,0.9414855,47.84681,40.26152,35.65337,1.029178,4.618952,0.6480606,0.6480606,0,-1,0,0.6480606,712.7346,3.936783,0,0,4.618952,0.6821691,0.6480606,0,0,0,10.62527,0,0,0,14.00003,100,0.1144475,0.7128667,3.695162,0,15.24423
1/3/2007 3:00:00 PM,0.6946991,37.09526,52.07967,47.73057,0.7711912,3.461106,1.794068,1.794068,0,-1,0,1.794068,192.9195,1.572614,0,0,3.461106,1.888492,1.794068,0,0,0,10.62527,0,0,0,14.00003,100,0.1144475,1.973474,2.768885,0,14.08638
1/3/2007 4:00:00 PM,0.4499265,24.81354,59.47055,60.86646,0.5176767,2.323333,1.520035,1.520035,0,-1,0,1.520035,152.8473,0.7232955,0,0,2.323333,1.600037,1.520035,0,0,0,10.62527,0,0,0,14.00003,100,0.1144475,1.672039,1.858666,0,12.94861
1/3/2007 5:00:00 PM,0.1871784,11.73763,64.15836,74.46036,0.2357385,1.057995,3.643134,3.33,0,-1,0,3.33,31.77161,0,0.3131336,0.677447,1.057995,3.505263,3.33,0,0,0,10.62527,0,2.447268,-2.447268,11.42038,81.57398,0.1144475,4.007447,0.8463957,0,11.68327
1/3/2007 6:00:00 PM,0.01226666,0,67.05901,90,0,0,2.101346,2.101346,0,-1,0,2.101346,0,0,4.440892E-16,0,0,2.211944,2.101346,0,0,2.719187,8.178005,0,2.211944,-2.211944,9.088787,64.91978,0.1144475,2.311481,0,0,8.178005
1/3/2007 7:00:00 PM,0,0,68.5692,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,5.176902,5.966062,0,0,0,9.088787,64.91978,0.1144475,0,0,0,5.966062
1/3/2007 8:00:00 PM,0,0,68.69611,90,0,0,2.063546,2.063546,0,-1,0,2.063546,0,0,0,0,0,2.172154,2.063546,0,0,5.176902,5.966062,0,2.172154,-2.172154,6.799136,48.56516,0.1144475,2.269901,0,0,5.966062
1/3/2007 9:00:00 PM,0,0,66.94791,90,0,0,2.275944,2.275944,0,-1,0,2.275944,0,0,4.440892E-16,0,0,2.39573,2.275944,0,0,7.590407,3.793908,0,2.39573,-2.39573,4.273814,30.52718,0.1144475,2.503538,0,0,3.793908
1/3/2007 10:00:00 PM,0,0,61.68317,90,0,0,0.8062797,0.8062797,0,-1,0,0.8062797,0,0,0,0,0,0.8487155,0.8062797,0,0,10.25233,1.398178,0,0.8487155,-0.8487155,3.37919,24.13702,0.1144475,0.8869077,0,0,1.398178
1/3/2007 11:00:00 PM,0,0,47.34851,90,0,0,0.5251433,0.5219891,0,-1,0,0.5219891,0,0,0.003154182,0.05566851,0,0.5494623,0.5219891,0,0,11.19535,0.5494623,0,0.5494623,-0.5494623,2.800006,20,0.1144475,0.5776576,0,0,0.5494623
1/4/2007 12:00:00 AM,0,0,7.720277,90,0,0,0.193857,0,0,-1,0,0,0,0,0.193857,0.2132428,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.1144475,0.2132428,0,0,0
1/4/2007 1:00:00 AM,0,0,-40.47429,90,0,0,0.7228973,0,0,-1,0,0,0,0,0.7228973,0.795187,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.1144475,0.795187,0,0,0
1/4/2007 2:00:00 AM,0,0,-59.3882,90,0,0,0.6249931,0,0,-1,0,0,0,0,0.6249931,0.6874924,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.1144475,0.6874924,0,0,0
1/4/2007 3:00:00 AM,0,0,-66.15261,90,0,0,0.1284197,0,0,-1,0,0,0,0,0.1284197,0.1412617,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.1144475,0.1412617,0,0,0
1/4/2007 4:00:00 AM,0,0,-68.56158,90,0,0,0.00472823,0,0,-1,0,0,0,0,0.00472823,0.005201053,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.1144475,0.005201053,0,0,0
1/4/2007 5:00:00 AM,0,0,-68.83775,90,0,0,0.2926016,0.2926016,3.797865,0,1.201817,0.2926016,0,0,0,0,0,0,0,3.505263,3.33,11.80586,0,3.33,0,3.33,5.959121,42.56506,0.1314938,0.3218617,0,5,0
1/4/2007 6:00:00 AM,0.001396567,0,-67.66837,90,0,0,0.4961827,0.4961827,4.001446,0,1.257395,0.4961827,0,4.440892E-16,0,0,0,0,0,3.505263,3.33,8.475861,2.997,3.33,0,3.33,9.118237,65.13013,0.1465722,0.5458009,0,5,2.997
1/4/2007 7:00:00 AM,0.0564668,8.260301,-65.15175,78.04327,0.0574417,0.2577983,0,0,3.505263,0,1.121937,0,0,0,0,0,0.2577983,0,0,3.505263,3.33,5.14586,5.994,3.587798,0,3.587798,12.52192,89.44212,0.1518642,0,0.2062387,5,6.251798
1/4/2007 8:00:00 AM,0.2004859,21.48465,-60.99622,64.37119,0.2067318,0.9278123,0.02600581,0.02600581,0,0,0,0.02600581,3567.712,0,0,0,0.9278123,0.02737454,0.02600581,0,0,1.558062,9.223019,0.9004378,0,0.9004378,13.37615,95.54375,0.1474244,0.02860639,0.7422499,0,10.15083
1/4/2007 9:00:00 AM,0.4016865,34.03698,-54.44366,51.06519,0.4245787,1.905509,0,0,0,-1,0,0,0,1.247885,0,0,1.905509,0,0,0,0,0.6576241,10.03341,0.6576241,0,0.6576241,14.00003,100,0.1443424,0,1.524408,0,11.93892
1/4/2007 10:00:00 AM,0.3202593,45.30926,-44.00337,38.60072,0.3216372,1.443508,3.366493,3.33,0,-1,0,3.33,43.34858,4.440892E-16,0.0364928,0.3731421,1.443508,3.505263,3.33,0,0,0,10.62527,0,2.061755,-2.061755,11.82675,84.47659,0.1443424,3.703142,1.154806,0,12.06878
1/4/2007 11:00:00 AM,0.1218587,54.04757,-27.34379,28.19584,0.1213832,0.5447679,1.449575,1.449575,0,-1,0,1.449575,37.58121,0,0,0,0.5447679,1.525869,1.449575,0,0,2.290839,8.563519,0,0.9811007,-0.9811007,10.79258,77.08968,0.1443424,1.594533,0.4358144,0,9.108287
1/4/2007 12:00:00 PM,0.319373,58.07962,-3.51411,22.91136,0.3190297,1.431805,0.3777736,0.3777736,0,-1,0,0.3777736,379.0116,0,0,0,1.431805,0.3976564,0.3777736,0,0,3.380951,7.582418,1.034149,0,1.034149,11.77366,84.09737,0.1397482,0.4155509,1.145444,0,9.014223
1/4/2007 1:00:00 PM,0.5423717,55.69747,21.55712,26.08877,0.5583194,2.505738,1.189249,1.189249,0,-1,0,1.189249,210.6991,0,0,0,2.505738,1.251841,1.189249,0,0,2.346802,8.513152,1.253896,0,1.253896,12.96321,92.59415,0.1345554,1.308174,2.00459,0,11.01889
1/4/2007 2:00:00 PM,0.1238305,47.98087,40.24257,35.51914,0.1233725,0.5536957,1.60809,1.60809,0,-1,0,1.60809,34.4319,0,0,0,0.5536957,1.692726,1.60809,0,0,1.092906,9.641659,0,1.13903,-1.13903,11.76256,84.01814,0.1345554,1.768898,0.4429566,0,10.19535
1/4/2007 3:00:00 PM,0.1481758,37.22844,52.10466,47.60261,0.1477778,0.6632267,0.4952948,0.4952948,0,-1,0,0.4952948,133.9054,0,0,0,0.6632267,0.521363,0.4952948,0,0,2.358495,8.502629,0.1418637,0,0.1418637,11.89715,84.97945,0.1339921,0.5448244,0.5305814,0,9.165855
1/4/2007 4:00:00 PM,0.09439445,24.94146,59.51693,60.74661,0.09418964,0.4227231,0,0,0,-1,0,0,0,0,0,0,0.4227231,0,0,0,0,2.216631,8.630306,0.4227231,0,0.4227231,12.29818,87.84395,0.1323412,0,0.3381785,0,9.053029
1/4/2007 5:00:00 PM,0.05515802,11.85911,64.21771,74.34872,0.05524664,0.2479469,0.4497066,0.4497066,0,-1,0,0.4497066,55.13527,0,5.551115E-17,0,0.2479469,0.4733753,0.4497066,0,0,1.793908,9.010757,0,0.2254284,-0.2254284,12.06056,86.14665,0.1323412,0.4946772,0.1983575,0,9.258704
1/4/2007 6:00:00 PM,0.01462315,0,67.12976,90,0,0,2.681132,2.681132,0,-1,0,2.681132,0,0,4.440892E-16,0,0,2.822245,2.681132,0,0,2.044384,8.785329,0,2.822245,-2.822245,9.085649,64.89735,0.1323412,2.949246,0,0,8.785329
1/4/2007 7:00:00 PM,0,0,68.65388,90,0,0,1.652454,1.652454,0,-1,0,1.652454,0,0,0,0,0,1.739425,1.652454,0,0,5.180211,5.963084,0,1.739425,-1.739425,7.252133,51.80085,0.1323412,1.817699,0,0,5.963084
1/4/2007 8:00:00 PM,0,0,68.80161,90,0,0,0.3911419,0.3911419,0,-1,0,0.3911419,0,0,5.551115E-17,0,0,0.4117283,0.3911419,0,0,7.112906,4.223659,0,0.4117283,-0.4117283,6.818133,48.70086,0.1323412,0.430256,0,0,4.223659
1/4/2007 9:00:00 PM,0,0,67.08897,90,0,0,1.944732,1.944732,0,-1,0,1.944732,0,0,2.220446E-16,0,0,2.047086,1.944732,0,0,7.570382,3.811931,0,2.047086,-2.047086,4.660315,33.2879,0.1323412,2.139205,0,0,3.811931
1/4/2007 10:00:00 PM,0,0,61.89367,90,0,0,0.4254951,0.4254951,0,-1,0,0.4254951,0,0,5.551115E-17,0,0,0.4478895,0.4254951,0,0,9.844922,1.764845,0,0.4478895,-0.4478895,4.188198,29.91564,0.1323412,0.4680445,0,0,1.764845
1/4/2007 11:00:00 PM,0,0,47.71067,90,0,0,0.4261207,0.4261207,0,-1,0,0.4261207,0,0,5.551115E-17,0,0,0.4485481,0.4261207,0,0,10.34258,1.316955,0,0.4485481,-0.4485481,3.715387,26.53842,0.1323412,0.4687327,0,0,1.316955
1/5/2007 12:00:00 AM,0,0,8.193862,90,0,0,0.04307121,0.04307121,0,-1,0,0.04307121,0,0,6.938894E-18,0,0,0.04533812,0.04307121,0,0,10.84096,0.8684069,0,0.04533812,-0.04533812,3.667596,26.19706,0.1323412,0.04737833,0,0,0.8684069
