Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,0.525323,0.525323,0,-1,0,0.525323,0,0,0,0,0,0.5529716,0.525323,0,0,0,10.62527,0,0.5529716,-0.5529716,13.41714,95.83656,0,0.5778553,0,0,10.62527
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,0.9663076,0.9663076,0,-1,0,0.9663076,0,0,1.110223E-16,0,0,1.017166,0.9663076,0,0,0.6144129,10.0723,0,1.017166,-1.017166,12.34496,88.17809,0,1.062938,0,0,10.0723
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,0.9760699,0.9760699,0,-1,0,0.9760699,0,0,1.110223E-16,0,0,1.027442,0.9760699,0,0,1.744597,9.055137,0,1.027442,-1.027442,11.26194,80.44226,0,1.073677,0,0,9.055137
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,0.8916978,0.8916978,0,0,0,0.8916978,0,0,1.110223E-16,0,0,0.9386293,0.8916978,0,0,2.886199,8.027695,0,0.9386293,-0.9386293,10.27254,73.37511,0,0.9808676,0,0,8.027695
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,0.300518,0.300518,0,0,0,0.300518,0,0,0,0,0,0.3163348,0.300518,0,0,3.929121,7.089066,0,0.3163348,-0.3163348,9.939091,70.99336,0,0.3305698,0,0,7.089066
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75782,0.06572935,0.2949933,0.9205351,0.9205351,0,0,0,0.9205351,32.04585,0,0,0,0.2949933,0.9689844,0.9205351,0,0,4.280604,6.77273,0,0.673991,-0.673991,9.228642,65.91874,0,1.012589,0.2359947,0,7.067724
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11859,0.1475045,0.6620001,0.9433191,0.9433191,0,0,0,0.9433191,70.17774,0,0,0,0.6620001,0.9929675,0.9433191,0,0,5.029483,6.09874,0,0.3309675,-0.3309675,8.879771,63.42681,0,1.037651,0.5296,0,6.76074
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85869,0.2876508,1.290977,1.958308,1.958308,0,-1,0,1.958308,65.92307,4.440892E-16,0,0,1.290977,2.061377,1.958308,0,0,5.397224,5.767772,0,0.7704002,-0.7704002,8.067698,57.6263,0,2.154139,1.032781,0,7.058749
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46853,0.0700992,0.3146052,0.5894669,0.5894669,0,-1,0,0.5894669,53.37114,0,0,0,0.3146052,0.6204915,0.5894669,0,0,6.253225,4.997372,0,0.3058863,-0.3058863,7.745265,55.32322,0,0.6484136,0.2516842,0,5.311977
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19857,0.05671747,0.254548,2.372129,2.372129,0,-1,0,2.372129,10.73078,0,4.440892E-16,0,0.254548,2.496978,2.372129,0,0,6.593099,4.691485,0,2.24243,-2.24243,5.381536,38.43947,0,2.609342,0.2036384,0,4.946033
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12832,0.308119,1.382838,2.057992,2.057992,0,-1,0,2.057992,67.19357,0,0,0,1.382838,2.166307,2.057992,0,0,9.084687,2.449055,0,0.783469,-0.783469,4.555688,32.54056,0,2.263791,1.106271,0,3.831893
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.45613,0.2722346,1.221789,1.562481,1.562481,0,-1,0,1.562481,78.19547,0,0,0,1.221789,1.644717,1.562481,0,0,9.955209,1.665586,0,0.4229274,-0.4229274,4.109883,29.35625,0,1.718729,0.9774314,0,2.887376
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91192,0.1153119,0.5175199,0.9491749,0.9491749,0,-1,0,0.9491749,54.52313,0,0,0,0.5175199,0.9991314,0.9491749,0,0,10.42513,1.242659,0,0.4816116,-0.4816116,3.60222,25.73009,0,1.044092,0.4140159,0,1.760179
1/1/2007 3:00:00 PM,0.06560741,36.83756,52.05293,47.98108,0.06534532,0.2932698,0,0,0,-1,0,0,0,0,0,0,0.2932698,0,0,0,0,10.96025,0.7610473,0.2932698,0,0.2932698,3.88044,27.71737,0,0,0.2346158,0,1.054317
1/1/2007 4:00:00 PM,0.1289536,24.56311,59.3996,61.10392,0.1288548,0.5783004,1.269037,1.269037,0,-1,0,1.269037,45.57002,0,2.220446E-16,0.3123229,0.5783004,1.335828,1.269037,0,0,10.66698,1.02499,0,0.7575279,-0.7575279,3.081936,22.01378,0,1.395941,0.4626403,0,1.60329
1/1/2007 5:00:00 PM,0.06745297,11.49752,64.06036,74.68382,0.0677819,0.3042051,0,0,0,-1,0,0,0,0,0,0,0.3042051,0,0,0,0,11.50868,0.2674622,0.3042051,0,0.3042051,3.37053,24.07516,0,0,0.2433641,0,0.5716674
1/1/2007 6:00:00 PM,0.009087816,0,66.93783,90,0,0,1.524358,0.5141845,0,-1,0,0.5141845,0,0,1.010173,1.162609,0,0.5412468,0.5141845,0,0,11.20447,0.5412468,0,0.5412468,-0.5412468,2.800006,20,0,1.676793,0,0,0.5412468
1/1/2007 7:00:00 PM,0,0,68.42065,90,0,0,2.108117,0,0,-1,0,0,0,0,2.108117,2.318929,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,2.318929,0,0,0
1/1/2007 8:00:00 PM,0,0,68.50754,90,0,0,2.940643,0,0,-1,0,0,0,0,2.940643,3.234707,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,3.234707,0,0,0
1/1/2007 9:00:00 PM,0,0,66.69133,90,0,0,3.475679,0,0,-1,0,0,0,0,3.475679,3.823247,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,3.823247,0,0,0
1/1/2007 10:00:00 PM,0,0,61.29293,90,0,0,0.04261905,0,0,-1,0,0,0,0,0.04261905,0.04688096,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,0.04688096,0,0,0
1/1/2007 11:00:00 PM,0,0,46.66078,90,0,0,0.1767733,0,0,-1,0,0,0,0,0.1767733,0.1944507,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,0.1944507,0,0,0
1/2/2007 12:00:00 AM,0,0,6.788207,90,0,0,0.5406348,0,0,-1,0,0,0,0,0.5406348,0.5946983,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,0.5946983,0,0,0
1/2/2007 1:00:00 AM,0,0,-40.56551,90,0,0,0.2229283,0,0,-1,0,0,0,0,0.2229283,0.2452211,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,0.2452211,0,0,0
1/2/2007 2:00:00 AM,0,0,-59.2364,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,0,0,0,0
1/2/2007 3:00:00 AM,0,0,-65.97112,90,0,0,0.7860438,0,0,-1,0,0,0,0,0.7860438,0.8646482,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,0.8646482,0,0,0
1/2/2007 4:00:00 AM,0,0,-68.37815,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0,0,0,0,0
1/2/2007 5:00:00 AM,0,0,-68.6517,90,0,0,0.1279119,0.1279119,3.633175,0,1.156857,0.1279119,0,0,0,0,0,0,0,3.505263,3.33,11.80586,0,3.33,0,3.33,5.959121,42.56506,0.1840614,0.1407031,0,5,0
1/2/2007 6:00:00 AM,0.00108274,0,-67.47298,90,0,0,0,0,3.505263,0,1.121937,0,0,0,0,0,0,0,0,3.505263,3.33,8.475861,2.997,3.33,0,3.33,9.118237,65.13013,0.1938681,0,0,5,2.997
1/2/2007 7:00:00 AM,0.0894334,8.420039,-64.93723,77.85435,0.100424,0.4507029,0.6017325,0.6017325,4.106996,0,1.28621,0.6017325,74.90087,4.440892E-16,0,0,0.4507029,0,0,3.505263,3.33,5.14586,5.994,3.780703,0,3.780703,12.70493,90.74929,0.2059774,0.6619057,0.3605623,5,6.444703
1/2/2007 8:00:00 AM,0.2576896,21.61751,-60.74889,64.20486,0.2779504,1.247441,0.3984072,0.3984072,0,0,0,0.3984072,313.1071,0,0,0,1.247441,0.419376,0.3984072,0,0,1.365157,9.396632,0.8280654,0,0.8280654,13.4905,96.3605,0.1916036,0.4382479,0.9979531,0,10.64407
1/2/2007 9:00:00 AM,0.4718998,34.13238,-54.14432,50.93041,0.5125239,2.300207,0.4697745,0.4697745,0,-1,0,0.4697745,489.6407,1.268616,0,0,2.300207,0.4944995,0.4697745,0,0,0.5370919,10.14189,0.5370919,0,0.5370919,14.00003,100,0.1833067,0.516752,1.840166,0,12.4421
1/2/2007 10:00:00 AM,0.7602223,45.34824,-43.62961,38.51652,0.8317798,3.733027,0,0,0,-1,0,0,0,3.733027,0,0,3.733027,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0.1833067,0,2.986422,0,14.3583
1/2/2007 11:00:00 AM,0.9687649,54.00035,-26.89878,28.20292,1.052089,4.721777,0,0,0,-1,0,0,0,4.721777,0,0,4.721777,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0.1833067,0,3.777422,0,15.34705
1/2/2007 12:00:00 PM,1.031318,57.92366,-3.10829,23.06229,1.116794,5.012169,1.275391,1.275391,0,-1,0,1.275391,392.991,3.669653,0,0,5.012169,1.342516,1.275391,0,0,0,10.62527,0,0,0,14.00003,100,0.1833067,1.40293,4.009736,0,15.63744
1/2/2007 1:00:00 PM,0.9423041,55.46115,21.77175,26.33896,1.021659,4.585204,2.317472,2.317472,0,-1,0,2.317472,197.8537,2.145761,0,0,4.585204,2.439444,2.317472,0,0,0,10.62527,0,0,0,14.00003,100,0.1833067,2.549219,3.668163,0,15.21048
1/2/2007 2:00:00 PM,0.9231796,47.717,40.28822,35.78432,1.009363,4.530021,2.239599,2.239599,0,-1,0,2.239599,202.2693,2.172549,0,0,4.530021,2.357472,2.239599,0,0,0,10.62527,0,0,0,14.00003,100,0.1833067,2.463558,3.624017,0,15.1553
1/2/2007 3:00:00 PM,0.6474482,36.96494,52.06245,47.85676,0.718266,3.223578,0.5937726,0.5937726,0,-1,0,0.5937726,542.8977,2.598554,0,0,3.223578,0.6250238,0.5937726,0,0,0,10.62527,0,0,0,14.00003,100,0.1833067,0.6531499,2.578862,0,13.84885
1/2/2007 4:00:00 PM,0.2630356,24.6874,59.43145,60.9856,0.2758419,1.237978,1.38406,1.38406,0,-1,0,1.38406,89.44545,0,0,0,1.237978,1.456905,1.38406,0,0,0,10.62527,0,0.2189265,-0.2189265,13.76926,98.35165,0.1833067,1.522465,0.9903826,0,11.86325
1/2/2007 5:00:00 PM,0.168327,11.61707,64.10592,74.57209,0.2057889,0.9235804,1.945579,1.945579,0,-1,0,1.945579,47.47073,0,0,0,0.9235804,2.047978,1.945579,0,0,0.2432517,10.40635,0,1.124397,-1.124397,12.58404,89.88582,0.1833067,2.140137,0.7388644,0,11.32993
1/2/2007 6:00:00 PM,0.01077664,0,66.99503,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1.492582,9.28195,0,0,0,12.58404,89.88582,0.1833067,0,0,0,9.28195
1/2/2007 7:00:00 PM,0,0,68.49145,90,0,0,0.5972224,0.5972224,0,-1,0,0.5972224,0,0,1.110223E-16,0,0,0.6286551,0.5972224,0,0,1.492582,9.28195,0,0.6286551,-0.6286551,11.92138,85.15254,0.1833067,0.6569446,0,0,9.28195
1/2/2007 8:00:00 PM,0,0,68.59808,90,0,0,1.57266,1.57266,0,-1,0,1.57266,0,0,0,0,0,1.655432,1.57266,0,0,2.191088,8.653296,0,1.655432,-1.655432,10.1764,72.68843,0.1833067,1.729926,0,0,8.653296
1/2/2007 9:00:00 PM,0,0,66.81534,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,4.030457,6.997863,0,0,0,10.1764,72.68843,0.1833067,0,0,0,6.997863
1/2/2007 10:00:00 PM,0,0,61.48289,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,4.030457,6.997863,0,0,0,10.1764,72.68843,0.1833067,0,0,0,6.997863
1/2/2007 11:00:00 PM,0,0,46.99853,90,0,0,0.4601828,0.4601828,0,-1,0,0.4601828,0,0,5.551115E-17,0,0,0.484403,0.4601828,0,0,4.030457,6.997863,0,0.484403,-0.484403,9.665795,69.04126,0.1833067,0.5062011,0,0,6.997863
1/3/2007 12:00:00 AM,0,0,7.251837,90,0,0,0.5613154,0.5613154,0,-1,0,0.5613154,0,0,1.110223E-16,0,0,0.5908583,0.5613154,0,0,4.568682,6.51346,0,0.5908583,-0.5908583,9.042976,64.59255,0.1833067,0.617447,0,0,6.51346
1/3/2007 1:00:00 AM,0,0,-40.51197,90,0,0,0.0598683,0.0598683,0,-1,0,0.0598683,0,0,6.938894E-18,0,0,0.06301927,0.0598683,0,0,5.225192,5.922602,0,0.06301927,-0.06301927,8.976548,64.11807,0.1833067,0.06585513,0,0,5.922602
1/3/2007 2:00:00 AM,0,0,-59.30554,90,0,0,0.1488533,0.1488533,0,-1,0,0.1488533,0,0,0,0,0,0.1566877,0.1488533,0,0,5.295213,5.859582,0,0.1566877,-0.1566877,8.811384,62.93834,0.1833067,0.1637387,0,0,5.859582
1/3/2007 3:00:00 AM,0,0,-66.05676,90,0,0,0.8103607,0.8103607,0,-1,0,0.8103607,0,0,1.110223E-16,0,0,0.8530113,0.8103607,0,0,5.469311,5.702895,0,0.8530113,-0.8530113,7.912231,56.51583,0.1833067,0.8913968,0,0,5.702895
1/3/2007 4:00:00 AM,0,0,-68.46574,90,0,0,0.561519,0.561519,0,-1,0,0.561519,0,0,1.110223E-16,0,0,0.5910726,0.561519,0,0,6.417101,4.849884,0,0.5910726,-0.5910726,7.289186,52.06551,0.1833067,0.6176709,0,0,4.849884
1/3/2007 5:00:00 AM,0,0,-68.74113,90,0,0,0.8505918,0.8505918,0,0,0,0.8505918,0,0,1.110223E-16,0,0,0.8953598,0.8505918,0,0,7.073848,4.258811,0,0.8953598,-0.8953598,6.345394,45.32415,0.1833067,0.9356509,0,0,4.258811
1/3/2007 6:00:00 AM,0.001416367,0,-67.56737,90,0,0,0.3294241,0.3294241,0,0,0,0.3294241,0,0,5.551115E-17,0,0,0.3467622,0.3294241,0,0,8.068692,3.363451,0,0.3467622,-0.3467622,5.979875,42.71331,0.1833067,0.3623666,0,0,3.363451
1/3/2007 7:00:00 AM,0.154613,8.338984,-65.04131,77.94952,0.2181808,0.9791952,0,0,0,0,0,0,0,0,0,0,0.9791952,0,0,0,0,8.453984,3.016689,0.9791952,0,0.9791952,6.908821,49.34862,0.1698942,0,0.7833562,0,3.995884
1/3/2007 8:00:00 AM,0.3864299,21.54955,-60.86939,64.28908,0.4516696,2.027093,1.28073,1.28073,0,0,0,1.28073,158.2764,0,0,0,2.027093,1.348136,1.28073,0,0,7.474789,3.897964,0.6789567,0,0.6789567,7.552936,53.94943,0.1616909,1.408803,1.621675,0,5.925058
1/3/2007 9:00:00 AM,0.5964742,34.08275,-54.2908,50.99925,0.66541,2.98636,1.711812,1.711812,0,-1,0,1.711812,174.4561,0,0,0,2.98636,1.801907,1.711812,0,0,6.795832,4.509026,1.184453,0,1.184453,8.676606,61.97564,0.1491292,1.882993,2.389088,0,7.495385
1/3/2007 10:00:00 AM,0.868866,45.32633,-43.81342,38.56059,0.9523236,4.274028,1.147877,1.147877,0,-1,0,1.147877,372.3421,0,0,0,4.274028,1.208291,1.147877,0,0,5.611379,5.575033,3.065737,0,3.065737,11.58502,82.74998,0.124162,1.262664,3.419223,0,9.849061
1/3/2007 11:00:00 AM,1.045182,54.02103,-27.119,28.202,1.135717,5.097099,3.276938,3.276938,0,-1,0,3.276938,155.5446,0,0,0.2746316,5.097099,3.449408,3.276938,0,0,2.545642,8.334196,1.64769,0,1.64769,13.14816,93.91521,0.1139122,3.604632,4.077679,0,13.4313
1/3/2007 12:00:00 PM,1.103408,57.99842,-3.311169,22.98996,1.195367,5.364808,0.7019437,0.7019437,0,-1,0,0.7019437,764.2789,3.727968,0,0,5.364808,0.7388881,0.7019437,0,0,0.8979516,9.817118,0.8979516,0,0.8979516,14.00003,100,0.109008,0.7721381,4.291846,0,15.18193
1/3/2007 1:00:00 PM,1.07279,55.57644,21.66171,26.2165,1.164307,5.225409,1.152647,1.152647,0,-1,0,1.152647,453.3399,4.012096,0,0,5.225409,1.213313,1.152647,0,0,0,10.62527,0,0,0,14.00003,100,0.109008,1.267912,4.180327,0,15.85068
1/3/2007 2:00:00 PM,0.9414855,47.84681,40.26152,35.65337,1.029178,4.618952,0.7290682,0.7290682,0,-1,0,0.7290682,633.5419,3.851512,0,0,4.618952,0.7674403,0.7290682,0,0,0,10.62527,0,0,0,14.00003,100,0.109008,0.8019751,3.695162,0,15.24423
1/3/2007 3:00:00 PM,0.6946991,37.09526,52.07967,47.73057,0.7711912,3.461106,2.018326,2.018326,0,-1,0,2.018326,171.484,1.336553,0,0,3.461106,2.124554,2.018326,0,0,0,10.62527,0,0,0,14.00003,100,0.109008,2.220159,2.768885,0,14.08638
1/3/2007 4:00:00 PM,0.4499265,24.81354,59.47055,60.86646,0.5176767,2.323333,1.71004,1.71004,0,-1,0,1.71004,135.8643,0.5232909,0,0,2.323333,1.800042,1.71004,0,0,0,10.62527,0,0,0,14.00003,100,0.109008,1.881044,1.858666,0,12.94861
1/3/2007 5:00:00 PM,0.1871784,11.73763,64.15836,74.46036,0.2357385,1.057995,4.098526,3.33,0,-1,0,3.33,31.77161,0,0.7685253,1.178378,1.057995,3.505263,3.33,0,0,0,10.62527,0,2.447268,-2.447268,11.42038,81.57398,0.109008,4.508378,0.8463957,0,11.68327
1/3/2007 6:00:00 PM,0.01226666,0,67.05901,90,0,0,2.364015,2.364015,0,-1,0,2.364015,0,0,0,0,0,2.488436,2.364015,0,0,2.719187,8.178005,0,2.488436,-2.488436,8.797338,62.83801,0.109008,2.600416,0,0,8.178005
1/3/2007 7:00:00 PM,0,0,68.5692,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,5.484117,5.689569,0,0,0,8.797338,62.83801,0.109008,0,0,0,5.689569
1/3/2007 8:00:00 PM,0,0,68.69611,90,0,0,2.32149,2.32149,0,-1,0,2.32149,0,0,0,0,0,2.443673,2.32149,0,0,5.484117,5.689569,0,2.443673,-2.443673,6.22148,44.43906,0.109008,2.553638,0,0,5.689569
1/3/2007 9:00:00 PM,0,0,66.94791,90,0,0,2.560437,2.560437,0,-1,0,2.560437,0,0,0,0,0,2.695197,2.560437,0,0,8.199309,3.245896,0,2.695197,-2.695197,3.380494,24.14633,0.109008,2.81648,0,0,3.245896
1/3/2007 10:00:00 PM,0,0,61.68317,90,0,0,0.9070647,0.5231643,0,-1,0,0.5231643,0,0,0.3839004,0.4746069,0,0.5506992,0.5231643,0,0,11.19397,0.5506992,0,0.5506992,-0.5506992,2.800006,20,0.109008,0.9977711,0,0,0.5506992
1/3/2007 11:00:00 PM,0,0,47.34851,90,0,0,0.5907862,0,0,-1,0,0,0,0,0.5907862,0.6498649,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.109008,0.6498649,0,0,0
1/4/2007 12:00:00 AM,0,0,7.720277,90,0,0,0.2180892,0,0,-1,0,0,0,0,0.2180892,0.2398981,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.109008,0.2398981,0,0,0
1/4/2007 1:00:00 AM,0,0,-40.47429,90,0,0,0.8132594,0,0,-1,0,0,0,0,0.8132594,0.8945854,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.109008,0.8945854,0,0,0
1/4/2007 2:00:00 AM,0,0,-59.3882,90,0,0,0.7031173,0,0,-1,0,0,0,0,0.7031173,0.773429,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.109008,0.773429,0,0,0
1/4/2007 3:00:00 AM,0,0,-66.15261,90,0,0,0.1444722,0,0,-1,0,0,0,0,0.1444722,0.1589194,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.109008,0.1589194,0,0,0
1/4/2007 4:00:00 AM,0,0,-68.56158,90,0,0,0.005319258,0,0,-1,0,0,0,0,0.005319258,0.005851184,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.109008,0.005851184,0,0,0
1/4/2007 5:00:00 AM,0,0,-68.83775,90,0,0,0.3291768,0.3291768,3.83444,0,1.211802,0.3291768,0,0,0,0,0,0,0,3.505263,3.33,11.80586,0,3.33,0,3.33,5.959121,42.56506,0.1264118,0.3620945,0,5,0
1/4/2007 6:00:00 AM,0.001396567,0,-67.66837,90,0,0,0.5582055,0.5582055,4.063468,0,1.274327,0.5582055,0,0,0,0,0,0,0,3.505263,3.33,8.475861,2.997,3.33,0,3.33,9.118237,65.13013,0.142128,0.614026,0,5,2.997
1/4/2007 7:00:00 AM,0.0564668,8.260301,-65.15175,78.04327,0.0574417,0.2577983,0,0,3.505263,0,1.121937,0,0,0,0,0,0.2577983,0,0,3.505263,3.33,5.14586,5.994,3.587798,0,3.587798,12.52192,89.44212,0.1477274,0,0.2062387,5,6.251798
1/4/2007 8:00:00 AM,0.2004859,21.48465,-60.99622,64.37119,0.2067318,0.9278123,0.02925654,0.02925654,0,0,0,0.02925654,3171.299,0,0,0,0.9278123,0.03079635,0.02925654,0,0,1.558062,9.223019,0.897016,0,0.897016,13.3729,95.52056,0.1435866,0.03218219,0.7422499,0,10.15083
1/4/2007 9:00:00 AM,0.4016865,34.03698,-54.44366,51.06519,0.4245787,1.905509,0,0,0,-1,0,0,0,1.244463,0,0,1.905509,0,0,0,0,0.6610458,10.03033,0.6610458,0,0.6610458,14.00003,100,0.1406806,0,1.524408,0,11.93584
1/4/2007 10:00:00 AM,0.3202593,45.30926,-44.00337,38.60072,0.3216372,1.443508,3.787304,3.33,0,-1,0,3.33,43.34858,4.440892E-16,0.4573044,0.8360348,1.443508,3.505263,3.33,0,0,0,10.62527,0,2.061755,-2.061755,11.82675,84.47659,0.1406806,4.166035,1.154806,0,12.06878
1/4/2007 11:00:00 AM,0.1218587,54.04757,-27.34379,28.19584,0.1213832,0.5447679,1.630772,1.630772,0,-1,0,1.630772,33.40552,0,2.220446E-16,0,0.5447679,1.716602,1.630772,0,0,2.290839,8.563519,0,1.171834,-1.171834,10.59153,75.6536,0.1406806,1.793849,0.4358144,0,9.108287
1/4/2007 12:00:00 PM,0.319373,58.07962,-3.51411,22.91136,0.3190297,1.431805,0.4249952,0.4249952,0,-1,0,0.4249952,336.8992,0,0,0,1.431805,0.4473634,0.4249952,0,0,3.592878,7.391685,0.9844421,0,0.9844421,11.52545,82.32447,0.1365647,0.4674948,1.145444,0,8.82349
1/4/2007 1:00:00 PM,0.5423717,55.69747,21.55712,26.08877,0.5583194,2.505738,1.337905,1.337905,0,-1,0,1.337905,187.2881,0,0,0,2.505738,1.408321,1.337905,0,0,2.608435,8.277682,1.097416,0,1.097416,12.56655,89.76089,0.1322513,1.471696,2.00459,0,10.78342
1/4/2007 2:00:00 PM,0.1238305,47.98087,40.24257,35.51914,0.1233725,0.5536957,1.809101,1.809101,0,-1,0,1.809101,30.60613,0,2.220446E-16,0,0.5536957,1.904317,1.809101,0,0,1.511019,9.265357,0,1.350621,-1.350621,11.14287,79.59177,0.1322513,1.990011,0.4429566,0,9.819053
1/4/2007 3:00:00 PM,0.1481758,37.22844,52.10466,47.60261,0.1477778,0.6632267,0.5572067,0.5572067,0,-1,0,0.5572067,119.0271,0,0,0,0.6632267,0.5865334,0.5572067,0,0,3.011709,7.914736,0.07669336,0,0.07669336,11.21563,80.11147,0.13196,0.6129274,0.5305814,0,8.577963
1/4/2007 4:00:00 PM,0.09439445,24.94146,59.51693,60.74661,0.09418964,0.4227231,0,0,0,-1,0,0,0,0,0,0,0.4227231,0,0,0,0,2.935016,7.98376,0.4227231,0,0.4227231,11.61666,82.97596,0.1303773,0,0.3381785,0,8.406484
1/4/2007 5:00:00 PM,0.05515802,11.85911,64.21771,74.34872,0.05524664,0.2479469,0.5059199,0.5059199,0,-1,0,0.5059199,49.00912,0,0,0,0.2479469,0.5325472,0.5059199,0,0,2.512292,8.364211,0,0.2846003,-0.2846003,11.31666,80.83315,0.1303773,0.5565119,0.1983575,0,8.612158
1/4/2007 6:00:00 PM,0.01462315,0,67.12976,90,0,0,3.016274,3.016274,0,-1,0,3.016274,0,0,4.440892E-16,0,0,3.175025,3.016274,0,0,2.828515,8.079611,0,3.175025,-3.175025,7.969893,56.92769,0.1303773,3.317901,0,0,8.079611
1/4/2007 7:00:00 PM,0,0,68.65388,90,0,0,1.85901,1.85901,0,-1,0,1.85901,0,0,2.220446E-16,0,0,1.956853,1.85901,0,0,6.356321,4.904585,0,1.956853,-1.956853,5.907188,42.19412,0.1303773,2.044911,0,0,4.904585
1/4/2007 8:00:00 PM,0,0,68.80161,90,0,0,0.4400346,0.4400346,0,-1,0,0.4400346,0,0,5.551115E-17,0,0,0.4631943,0.4400346,0,0,8.530602,2.947732,0,0.4631943,-0.4631943,5.418939,38.70663,0.1303773,0.4840381,0,0,2.947732
1/4/2007 9:00:00 PM,0,0,67.08897,90,0,0,2.187824,2.187824,0,-1,0,2.187824,0,0,0,0.04629473,0,2.302972,2.187824,0,0,9.045262,2.484538,0,2.302972,-2.302972,2.991393,21.36705,0.1303773,2.406606,0,0,2.484538
1/4/2007 10:00:00 PM,0,0,61.89367,90,0,0,0.4786819,0.1724876,0,-1,0,0.1724876,0,0,0.3061943,0.3540625,0,0.1815659,0.1724876,0,0,11.60412,0.1815659,0,0.1815659,-0.1815659,2.800006,20,0.1303773,0.5265501,0,0,0.1815659
1/4/2007 11:00:00 PM,0,0,47.71067,90,0,0,0.4793858,0,0,-1,0,0,0,0,0.4793858,0.5273243,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.1303773,0.5273243,0,0,0
1/5/2007 12:00:00 AM,0,0,8.193862,90,0,0,0.04845511,0,0,-1,0,0,0,0,0.04845511,0.05330062,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.1303773,0.05330062,0,0,0
1/5/2007 1:00:00 AM,0,0,-40.4529,90,0,0,0.3594629,0,0,-1,0,0,0,0,0.3594629,0.3954092,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.1303773,0.3954092,0,0,0
