Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Generic flat plate PV Cell Temperature,Ambient Temperature,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,23.99234,23.99234,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,23.99234,23.99234,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,23.12438,23.12438,28.42784,28.42784,0,-1,0,28.42784,0,0,3.552714E-15,0,0,29.92404,28.42784,0,0,0,318.7582,0,29.92404,-29.92404,388.4581,92.48985,0,31.27062,0,0,318.7582
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,22.32699,22.32699,52.29171,52.29171,0,-1,0,52.29171,0,0,7.105427E-15,0,0,55.0439,52.29171,0,0,33.24894,288.8342,0,55.0439,-55.0439,330.4368,78.67526,0,57.52087,0,0,288.8342
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,21.51548,21.51548,52.81999,52.81999,0,-1,0,52.81999,0,0,7.105427E-15,0,0,55.59999,52.81999,0,0,94.40882,233.7903,0,55.59999,-55.59999,271.8292,64.72112,0,58.10199,0,0,233.7903
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,20.7816,20.7816,48.2542,48.2542,0,0,0,48.2542,0,0,7.105427E-15,0,0,50.79389,48.2542,0,0,156.1866,178.1903,0,50.79389,-50.79389,218.2878,51.97317,0,53.07962,0,0,178.1903
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,20.11122,20.11122,16.26252,16.26252,0,0,0,16.26252,0,0,3.552714E-15,0,0,17.11845,16.26252,0,0,212.6243,127.3964,0,17.11845,-17.11845,200.2433,47.67689,0,17.88878,0,0,127.3964
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,7.337051,21.30464,19.41262,17.45969,17.45969,0,0,0,17.45969,42.02279,0,3.552714E-15,0,7.337051,18.37863,17.45969,0,0,231.6447,110.278,0,11.04157,-11.04157,188.6045,44.90574,0,19.20566,5.869641,0,117.615
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,16.17635,24.87805,20.6193,17.89183,17.89183,0,0,0,17.89183,90.4119,0,0,0,16.17635,18.83351,17.89183,0,0,243.9132,99.23638,0,2.657164,-2.657164,185.8036,44.23886,0,19.68102,12.94108,0,115.4127
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,30.41502,32.05132,23.69596,37.14302,37.14302,0,-1,0,37.14302,81.88622,0,0,0,30.41502,39.09792,37.14302,0,0,246.8656,96.57922,0,8.6829,-8.6829,176.651,42.05968,0,40.85732,24.33201,0,126.9942
